,Food Index,Food,Zinc,Thiamin
163,11710060,"Similac Alimentum Advance, with iron, infant formula, NS as to form",0.00049,3.9e-05
164,11710061,"Similac Alimentum Advance, with iron, infant formula, ready-to-feed",0.00049,3.9e-05
165,11710063,"Similac Alimentum Advance, with iron, infant formula, prepared from powder",0.00049,3.9e-05
166,11710100,"Enfamil, low iron, infant formula, NS as to form",0.00066,5.2e-05
167,11710101,"Enfamil, low iron, infant formula, ready-to-feed",0.00066,5.2e-05
168,11710102,"Enfamil, low iron, infant formula, prepared from liquid concentrate",0.00068,5.4e-05
169,11710103,"Enfamil, low iron, infant formula, prepared from powder",0.00065,5e-05
170,11710200,"Similac, low iron, infant formula, NS as to form",0.00049,6.6e-05
171,11710201,"Similac, low iron, infant formula, ready-to-feed",0.00049,6.6e-05
172,11710202,"Similac, low iron, infant formula, prepared from liquid concentrate",0.0005,6.500000000000001e-05
173,11710203,"Similac, low iron, infant formula, prepared from powder",0.00051,6.7e-05
174,11710250,"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, NS as to form",0.00117,0.000195
175,11710251,"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, ready-to-feed",0.00117,0.000195
176,11710350,"Similac Advance, with iron, infant formula, NS as to form",0.00049,6.6e-05
177,11710351,"Similac Advance, with iron, infant formula, ready-to-feed",0.00049,6.6e-05
178,11710352,"Similac Advance, with iron, infant formula, prepared from liquid concentrate",0.0005,6.500000000000001e-05
179,11710353,"Similac Advance, with iron, infant formula, prepared from powder",0.0005,6.6e-05
180,11710370,"Similac Sensitive, with iron, ARA and DHA, infant formula, NS as to form (formerly Lactose Free Advance ...)",0.0005200000000000001,6.900000000000001e-05
181,11710371,"Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance ...)",0.0005200000000000001,6.900000000000001e-05
182,11710372,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from liquid concentrate   (formerly Lactose Free Advance...)",0.0005,6.6e-05
183,11710373,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from powder   (formerly Lactose Free Advance ...)",0.0005200000000000001,6.7e-05
184,11710400,"Similac, with iron, infant formula, NS as to form",0.00049,6.6e-05
185,11710401,"Similac, with iron, infant formula, ready-to-feed",0.00049,6.6e-05
186,11710402,"Similac, with iron, infant formula, prepared from liquid concentrate",0.0005,6.500000000000001e-05
187,11710403,"Similac, with iron, infant formula, prepared from powder",0.0005,6.6e-05
188,11710450,"Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, NS as to form",0.0011799999999999998,0.00019600000000000002
189,11710451,"Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, ready-to-feed",0.0011799999999999998,0.00019600000000000002
190,11710470,"Similac NeoSure, with iron, ARA and DHA, infant formula, NS as to form",0.00082,0.00015099999999999998
191,11710471,"Similac NeoSure, with iron, ARA and DHA, infant formula, ready-to-feed",0.00082,0.00015099999999999998
192,11710473,"Similac NeoSure, with iron, ARA and DHA, infant formula, prepared from powder",0.00087,0.000158
193,11710600,"Enfamil, with iron, infant formula, NS as to form",0.00066,5.2e-05
194,11710601,"Enfamil, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
195,11710602,"Enfamil, with iron, infant formula, prepared from liquid concentrate",0.00066,5.2e-05
196,11710603,"Enfamil, with iron, infant formula, prepared from powder",0.00065,5e-05
197,11710650,"Enfamil Lipil, with iron, infant formula, NS as to form",0.00066,5.2e-05
198,11710651,"Enfamil Lipil, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
199,11710652,"Enfamil Lipil, with iron, infant formula, prepared from liquid concentrate",0.00068,5.4e-05
200,11710653,"Enfamil Lipil, with iron, infant formula, prepared from powder",0.00065,5e-05
201,11710660,"Enfamil A.R. Lipil, infant formula, NS as to form",0.00068,5.5e-05
202,11710661,"Enfamil A.R. Lipil, infant formula, ready-to-feed",0.00068,5.5e-05
203,11710663,"Enfamil A.R. Lipil, infant formula, prepared from powder",0.00066,5.2e-05
204,11710665,"Enfamil EnfaCare Lipil with iron, infant formula, NS as to form",0.00088,0.00014099999999999998
205,11710666,"Enfamil EnfaCare Lipil with iron, infant formula, ready-to-feed",0.00088,0.00014099999999999998
206,11710667,"Enfamil EnfaCare Lipil with iron, infant formula, prepared from powder",0.0008900000000000001,2.8e-05
207,11710670,"Enfamil Gentlease Lipil, with iron, infant formula, NS as to form",0.00066,5.2e-05
208,11710673,"Enfamil Gentlease Lipil, with iron, infant formula, prepared from powder",0.00073,5.8e-05
209,11710680,"Enfamil Next Step Lipil, with iron, infant formula, NS as to form",0.00068,5.5e-05
210,11710681,"Enfamil Next Step Lipil, with iron, infant formula, ready-to-feed",0.00068,5.5e-05
211,11710683,"Enfamil Next Step Lipil, with iron, infant formula, prepared from powder",0.00065,7.099999999999999e-05
212,11710710,"Lactofree, with iron, infant formula, NS as to form",0.00066,5.2e-05
213,11710711,"Lactofree, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
214,11710712,"Lactofree, with iron, infant formula, prepared from liquid concentrate",0.00065,5.2e-05
215,11710713,"Lactofree, with iron, infant formula, prepared from powder",0.00065,5.2e-05
216,11710720,"Enfamil LactoFree Lipil, with iron, infant formula, NS as to form",0.00066,5.2e-05
217,11710721,"Enfamil LactoFree Lipil, with iron, infant formula, ready-to-feed",0.00066,5.2e-05
218,11710722,"Enfamil LactoFree Lipil, with iron, infant formula, prepared from liquid concentrate",0.00066,5.2e-05
219,11710723,"Enfamil LactoFree Lipil, with iron, infant formula, prepared from powder",0.00065,5.2e-05
220,11710800,"Pediasure, with iron, infant formula, NS as to form",0.00115,0.000258
221,11710801,"Pediasure, with iron, infant formula, ready-to-feed",0.00115,0.000258
222,11710805,"Pediasure Fiber, with iron, infant formula, NS as to form",0.0005600000000000001,0.000256
223,11710806,"Pediasure Fiber, with iron, infant formula, ready-to-feed",0.0005600000000000001,0.000256
224,11710900,"Good Start Supreme, with iron, infant formula, NS as to form (formerly Carnation Good Start)",0.00053,6.6e-05
225,11710901,"Good Start Supreme, with iron, infant formula, ready-to-feed (formerly Carnation Good Start)",0.00053,6.6e-05
226,11710902,"Good Start Supreme, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Good Start)",0.00053,6.500000000000001e-05
227,11710903,"Good Start Supreme, with iron, infant formula, prepared from powder (formerly Carnation Good Start)",0.00053,6.6e-05
228,11710910,"Good Start Supreme, with iron, DHA & ARA, infant formula, NS as to form",0.00053,6.6e-05
229,11710911,"Good Start Supreme, with iron, DHA & ARA, infant formula, ready-to-feed",0.00053,6.6e-05
230,11710912,"Good Start Supreme, with iron, DHA & ARA, infant formula, prepared from liquid concentrate",0.00053,6.500000000000001e-05
231,11710913,"Good Start Supreme, with iron, DHA & ARA, infant formula, prepared from powder",0.00053,6.6e-05
232,11710950,"Good Start 2 Essentials, with iron, infant formula, NS as to form (formerly Carnation Follow-Up, with iron...)",0.0005200000000000001,5.2e-05
233,11710951,"Good Start 2 Essentials, with iron, infant formula, ready-to-feed (formerly Carnation Follow-Up, with iron...)",0.0005200000000000001,5.2e-05
