,Food Index,Nutrient Index,Amount,Food
213,11513500,404,0.041,"Chocolate syrup, whole milk added"
214,11513550,309,0.51,"Chocolate syrup, reduced fat milk added"
215,11513550,404,0.035,"Chocolate syrup, reduced fat milk added"
216,11513600,309,0.46,"Chocolate syrup, lowfat milk added"
217,11513600,404,0.019,"Chocolate syrup, lowfat milk added"
218,11513700,309,0.46,"Chocolate syrup, skim milk added"
219,11513700,404,0.04,"Chocolate syrup, skim milk added"
220,11514100,309,0.21,"Cocoa, sugar, and dry milk mixture, water added"
221,11514100,404,0.013,"Cocoa, sugar, and dry milk mixture, water added"
222,11514300,309,0.28,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"
223,11514300,404,0.021,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"
224,11514500,309,0.22,"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"
225,11514500,404,0.016,"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"
226,11515100,309,0.42,"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style"
227,11515100,404,0.284,"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style"
228,11515400,309,0.34,"Cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added"
229,11515400,404,0.026,"Cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added"
230,11516000,309,0.58,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"
231,11516000,404,0.033,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"
232,11518000,309,0.38,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate"
233,11518000,404,0.012,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate"
234,11518050,309,0.42,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"
235,11518050,404,0.013,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"
236,11518100,309,0.38,"Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate"
237,11518100,404,0.012,"Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate"
238,11519000,309,0.34,"Milk beverage, made with whole milk, flavors other than chocolate"
239,11519000,404,0.042,"Milk beverage, made with whole milk, flavors other than chocolate"
240,11519040,309,0.39,"Milk, flavors other than chocolate, NFS"
241,11519040,404,0.037,"Milk, flavors other than chocolate, NFS"
242,11519050,309,0.34,"Milk, flavors other than chocolate, whole milk-based"
243,11519050,404,0.042,"Milk, flavors other than chocolate, whole milk-based"
244,11519105,309,0.45,"Milk, flavors other than chocolate, reduced fat milk-based"
245,11519105,404,0.036,"Milk, flavors other than chocolate, reduced fat milk-based"
246,11519200,309,0.38,"Milk, flavors other than chocolate, lowfat milk-based"
247,11519200,404,0.019,"Milk, flavors other than chocolate, lowfat milk-based"
248,11519205,309,0.38,"Milk, flavors other than chocolate, skim-milk based"
249,11519205,404,0.042,"Milk, flavors other than chocolate, skim-milk based"
250,11520000,309,0.46,"Milk, malted, unfortified, NS as to flavor, made with milk"
251,11520000,404,0.051,"Milk, malted, unfortified, NS as to flavor, made with milk"
252,11521000,309,0.46,"Milk, malted, unfortified, chocolate, made with milk"
253,11521000,404,0.051,"Milk, malted, unfortified, chocolate, made with milk"
254,11522000,309,0.47,"Milk, malted, unfortified, natural flavor, made with milk"
255,11522000,404,0.077,"Milk, malted, unfortified, natural flavor, made with milk"
256,11525000,309,0.45,"Milk, malted, fortified, natural flavor, made with milk"
257,11525000,404,0.372,"Milk, malted, fortified, natural flavor, made with milk"
258,11526000,309,0.48,"Milk, malted, fortified, chocolate, made with milk"
259,11526000,404,0.279,"Milk, malted, fortified, chocolate, made with milk"
260,11527000,309,0.48,"Milk, malted, fortified, NS as to flavor, made with milk"
261,11527000,404,0.279,"Milk, malted, fortified, NS as to flavor, made with milk"
262,11531000,309,0.46,"Eggnog, made with whole milk"
263,11531000,404,0.034,"Eggnog, made with whole milk"
264,11531500,309,0.6,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)"
265,11531500,404,0.034,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)"
266,11541000,309,0.47,"Milk shake, NS as to flavor or type"
267,11541000,404,0.04,"Milk shake, NS as to flavor or type"
268,11541100,309,0.44,"Milk shake, homemade or fountain-type, NS as to flavor"
269,11541100,404,0.037,"Milk shake, homemade or fountain-type, NS as to flavor"
270,11541110,309,0.49,"Milk shake, homemade or fountain-type, chocolate"
271,11541110,404,0.039,"Milk shake, homemade or fountain-type, chocolate"
272,11541120,309,0.4,"Milk shake, homemade or fountain-type, flavors other than chocolate"
273,11541120,404,0.038,"Milk shake, homemade or fountain-type, flavors other than chocolate"
274,11541400,309,0.43,Milk shake with malt
275,11541400,404,0.065,Milk shake with malt
276,11541500,309,0.56,"Milk shake, made with skim milk, chocolate"
277,11541500,404,0.045,"Milk shake, made with skim milk, chocolate"
278,11541510,309,0.43,"Milk shake, made with skim milk, flavors other than chocolate"
279,11541510,404,0.042,"Milk shake, made with skim milk, flavors other than chocolate"
280,11542000,309,0.49,"Carry-out milk shake, NS as to flavor"
281,11542000,404,0.042,"Carry-out milk shake, NS as to flavor"
282,11542100,309,0.41,"Carry-out milk shake, chocolate"
283,11542100,404,0.058,"Carry-out milk shake, chocolate"
284,11542200,309,0.57,"Carry-out milk shake, flavors other than chocolate"
285,11542200,404,0.026,"Carry-out milk shake, flavors other than chocolate"
286,11551050,309,0.32,Milk fruit drink
287,11551050,404,0.034,Milk fruit drink
288,11552200,309,0.6,Orange Julius
289,11552200,404,0.103,Orange Julius
290,11553000,309,0.33,"Fruit smoothie drink, made with fruit or fruit juice and dairy products"
291,11553000,404,0.033,"Fruit smoothie drink, made with fruit or fruit juice and dairy products"
292,11553100,309,0.19,"Fruit smoothie drink, NFS"
293,11553100,404,0.029,"Fruit smoothie drink, NFS"
294,11560000,309,0.16,"Chocolate-flavored drink, whey- and milk-based"
295,11560000,404,0.01,"Chocolate-flavored drink, whey- and milk-based"
296,11560020,309,0.16,"Flavored milk drink, whey- and milk-based, flavors other than chocolate"
297,11560020,404,0.01,"Flavored milk drink, whey- and milk-based, flavors other than chocolate"
298,11561000,309,0.2,Cafe con leche
299,11561000,404,0.028,Cafe con leche
300,11561010,309,0.18,Cafe con leche prepared with sugar
301,11561010,404,0.026,Cafe con leche prepared with sugar
302,11611000,309,1.5,"Instant breakfast, fluid, canned"
303,11611000,404,0.147,"Instant breakfast, fluid, canned"
304,11612000,309,1.5,"Instant breakfast, powder, milk added"
